Ticker,Opportunities,Threats
DPZ,2. Introduction of new flavor additives and pizza toppings that are region specific can be a good stride for Dominos.,2. Changing consumer habits towards healthier food choices.
DPZ,3. The distribution network should be further strengthened so as to ensure market penetration in the existing markets at maximum optimum levels.,3. Changing government policies and regulations can affect global operations
DPZ,"4. Growing presence in emerging markets, particularly in India, China.",-
-,-,-
-,-,-
-,-,-
DRE,1.Increasing demand for power in the U.S.,1.Compliance to Environmental law
DRE,2.Non-conventional sources of power,2.Consolidation in the power sector in the U.S.
DRE,3.Further expansion into other States and into Latin America,-
-,-,-
DVA,1. Number of patients is increasing,1. Rising cost of medical equipment making
DVA,2. Aging population and more affordability,2. Risk of changing regulatory environment
DVA,3. Scope of expansion in other continents,3. Compliance issues which are different in different countries
DVA,4. Venturing into other verticals of healthcare,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
EBAY,1. The markets devoid of internet are untapped by eBay,1. Can be subjected to online frauds & security breaches which can affect the business of eBay
EBAY,2. Customers reluctant in shopping online can be persuaded,2. Risk of being involved into selling of illegal entities
EBAY,3. Partnerships with companies for bulk selling,3. Newly emerging competitive online shopping portals
-,-,4. Government policies & taxation can affect business margins & operations
-,-,-
ECL,1.Merger with NALCO Holding Company to gain their expertise in creating innovative services for providing clean and safe utilities.,1.Innovative products and services from competitors and their strategies are affecting the demand for the company’s solutions.
ECL,2. There is good forecast for growth of cleaning chemicals in the United States.,"2. There are several environmental and legal issues that are plaguing the company’s growth, especially in international markets."
ECL,"3. With increasing demand for commercial vehicles, surface protectants are becoming increasingly popular, which is one of their core offerings for the automobile sector.",3. An increase in raw material prices is also affecting the input costs and resulting in poor Profit & Loss statements.
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
EMN,1. Acquisitions is an important step in terms of growth strategy for providing Eastman with stronger profits and larger markets in performance materials,1. Environmental regulatory bodies have banned several products of Eastman in a bid to reduce environmental degradations
EMN,2. Other strategic acquisitions such as Dynaloy’s material science division and Sterling Chemicals have put Eastman on top gear in terms of market connect and technological advancement,2. Labor laws and public rescue bodies have added to the woes of the company’s production facilities
EMN,3. More penetration and tie-ups in the global emerging economies,3. Substitutes and emergence of new alternatives for the products is reducing demand
-,-,-
EMR,1. Increased focus on emerging markets,1. Volatility in end-markets with fluctuating exchange rate and raising local manufaturers
EMR,2. Expansion in Middle East and African regions,"2. Intense competition in fields like industrial automation, network power"
EMR,3. Growing process industries and lifecycle obsolescence in older plants,3. Political and economic risks associated with international production facilities
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
ETN,1. Diversification by acquisition will help in inorganic growth in a consolidated market,"1. Competition across all business segments can affect margins adversely, with numbers varying across segments"
ETN,2. Emerging market provides opportunity for growth with increasing demand for energy management,2. Increase in labor costs has affected customer and end-user service price which are affecting its core costs
ETN,3. Growing global automotive drivetrain market and positive outlook for electrical components could help enhance business opportunities,"3. Volatility in raw material costs especially Iron, Steel & Oil are affecting profitability"
-,-,-
-,-,-
-,-,-
-,-,-
EW,1. New product launches likely to help address broader customer base,"
1. Intense competition could reduce the company’s market share
"
EW,2. Growing incidence of cardiovascular diseases,2. Healthcare reform in the US may have negative impact on demand for healthcare products 
EW,3. Reaching emerging economies through tie ups and associations,3. Industry consolidation could affect profitability
-,-,-
EXC,1.Increasing demand for power in the U.S.,1.Environmental Liabilities
EXC,2.Non-conventional sources of power,2.Legals Restrictions on the use of Nuclear power
EXC,3.Expansion into Central and Latin America where there is a great demand for power,3. Consolidation in the U.S. power sector
-,-,-
-,-,-
EXPE,1.Partnership across the globe because of increasing online bookings in the developing markets,1.The market is highly competitive with both local and global players
EXPE,2. Customers who still use traditional methods of bookings and are reluctant to use internet for financial transactions,2. Weak internet penetration in developing nations could halt the companies growth in the long run
-,-,-
-,-,-
F,1. Expanding automobile sector can be tapped across the world by Ford,1. Competition from major international players can reduce Ford's market share
F,2. Improving business scenario by expanding its consumer base,2. Increasing usage of public transport and increased fuel costs an lead to decline in sales
F,3. Capitalizing on the models exclusively designed for different markets,3. Production problems in local plants due to labor and similar issues
F,4. Ford needs to focus on the upcoming market trends in terms of EV (electric vehicles) and hybrid cars,"4. Being a global brand, it is affected by recession and global economic crisis"
F,5. Ford can look at the robotics sector as well for expanding its technology & portfolio,5. Events like Pandemic affect the automobile industry in general as people stop going outside and to usual places for work and study etc.
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
FAST,1. Fastenal will be the primary sponsor in the NASCAR Sprint Cup Series enhancing its image,1.Increasing competitor activity
FAST,2. Acquisition of smaller players,2. Fluctuating economy affects operations and business
FAST,3. Rapid expansion plan for future,-
-,-,-
FB,1. Tapping the business opportunities in emerging economies can help Facebook grow further,1. Competitors trying to improvise their own product can hurt Facebook
FB,"2. Businesses having no online presence can be tapped by Facebook, which can help local businesses grow",2. Governments banning the website usage through monitoring & blocking can be a huge issue
FB,3. Integrate with more telecom operators or similar companies,"3. Fake accounts, incorrect news & hacking instances can reduce the credibility of Facebook"
FB,4. Facebook can be more transparent with users and help continue to ensure it safeguards customer's information,-
-,-,-
FBHS,"
1. Growth potential in the security products market
",1. Stringent regulations – especially in health and safety related issues
FBHS,2. Improving housing construction market in the US ,2.Split of conglomerate would decrease revenues and brand strength
FBHS,3. Expansion projects in China and India,3. Heavy competition from local players offering cheaper products
-,-,-
-,-,-
-,-,-
FDX,1. Leverage their presence in all countries to build a robust domestic network of supply chain,1. Rising fuel prices & economic policies could impact the profit of Fedex
FDX,2. Challenging competitors through mergers and acquisitions can help Fedex grow inorganically,2. Varying market demand can lead to seasonality or loss in business
FDX,3. Tie-up with ecommerce startups & enterprises to increase their business,3. Vulnerable to increasing reach by major competitors
-,-,-
-,-,-
-,-,-
-,-,-
FISV,1. Increasing usage online payments,1. Increasing competition from small players and peers
FISV,2. Key role played by IT in Financial services,2. Global Economic slowdown
FISV,3. Increasing customization solutions by the financial institution,3. Slowdown in financial service business in US and across the world
-,-,-
FITB,1. Introduction of additional banking services,1. Global slowdown might affect banks performance
FITB,"2. Expansion, mergers and acquisitions in North America",2. High degree of competition in the region
FITB,3. Global tieups to enhance market position,-
-,-,-
-,-,-
FMC,1.More oil well discoveries,1.Government regulations pressurizing operations
FMC,2. The company has been awarded a lot of new contracts recently which has a positive sign,2.High Competition from existing oil services companies globally
FMC,3. Infrastructure growth means more automobiles and construction equipment which require more fuel.,3.Environmental hazards cause a backlash
-,-,4.Economic instability and fluctuations worldwide
-,-,-
FOX,"1. Maximizing its global reach, strengthen its foreign presence",1. Increasing piracy and illegal downloads in developing countries. Lack of sufficient laws to protect intellectual property.
FOX,2. Opportunities for acquisitions,2. Increasing competition in the entertainment space
FOX,3. Expansion into digital media and creating online platforms for entertainment,3. Shifting consumer preferences. Consumers have started moving towards low-cost digital media like Netflix.
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
GD,"1. Growing global market for defense and aerospace, especially China and India",1. Government lawsuit & future regulations can disrupt its revenue stream
GD,2. Defense spending has increased in the US and the world,2. Potential decreases in US government spending will have a major impact on its revenues
GD,3. Highest order backlog since 2008 and backlog orders simply need to be fulfilled,3. Impact of Cyber security disruptions is unknown at this time
-,-,"4. Due to lower remuneration as compared to competitors, employee retention & availability"
-,-,-
GE,1. Global aquisitions and buyouts to strengthen existing businesses,1. Strict govt policies and environmental regulatory norms can affect operations
GE,2. Growing demand for commercial airplanes,"2. Since it is a powerful global brand, economic and political risks"
GE,3. New pipeline of contracts to boost top line growth,3. Increased IT security threats can cause issues
GE,4. Emerging economies give a huge scope provided the infrastructure required to build complete cities,4. Fluctuating currencies and economic recessions can affect global businesses severely
-,-,-
-,-,-
GIS,"1. Since creating meals and adapting to the flavor profiles of the local cuisine are notable considerations for entering a foreign market, General Mills has teamed up with Nestle to purvey its cereal to European markets as a direct challenge to Kellogg","1.Food prices are affected by fuel & commodity prices, which are increasing production costs"
GIS,2. Rising demand for cereals should be used to General Mills’ advantage,"2.Private store brands and consumers’ increasing preference for less-processed, healthy food"
GIS,3.Higher penetration with smaller retailer customers in the US,3. The growth of Wal-Mart in the grocery food industry is of great concern for all existing business; in future it may even force suppliers of food to reduce their cost structure in an effort to reduce prices this will hamper revenues of General Mills
GIS,"4. Increasing older population (baby-boomers generation), potentially a new market for the company's products",4. Unaware of lawsuits against them
-,-,-
-,-,-
GLW,1.New emerging markets,1.Fast market changing
GLW,2. Expanding global LCD market,2. Slowdown in European and US markets
GLW,3. Positive outlook for global integrated telecommunication market,3. Telecommunications environment volatility
GLW,4. Increasing demand of digital technology,4. Highly competitive telecommunications markets
-,-,5. Limited protection ofintellectual property rights
-,-,-
GM,"1.Increasing acceptance of eco-friendly, hybrid & electric cars is an opportunity for General motors to grow",1. Fluctuating fuel prices and better public transport can discourage people from purchasing their own vehicle
GM,2.Increasing purchasing capacity of people to afford cars,2. Intense competition from global automobile players means lesser margins and more investments needed by General Motors
GM,3. Increasing demand for automobiles in developing nations can be tapped by the company by international expansion,"3. Emission regulations, government policies, economic recessions etc. can all impact the business"
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
GPS,1. Gap’s new ventures in China and Europe can be profitable to the company,1.Brands offering more fashionable clothing at better value
GPS,2. Boost sales through online promotion and shopping on the brand,2. Rapid changing fashion trends
GPS,3. Tie-up with fashion houses and expansion through more stores,3.Rising production costs can put a dent in the profits of the brand
-,-,-
GRMN,1.Brand awareness drive to increase visibility,1.Increase of new entrants offering personal navigation devices
GRMN,2. The use of GPS technology within varying age groups is rising,2. GPS satellites maybecome inoperable due to decaying gravity
GRMN,3. Garmin could capitalize/invest in the technology of applications such as Google-Maps,3. There is a risk of market saturation of GPS devices
-,-,-
GS,1.Expansion in emerging economies,1.Changing govt regulations and financial crisis like recessions
GS,2.Diversifying portfolios for customers,2.Variable interest rates
GS,3.Investment banking is growing,3.Declining stock markets
-,-,-
GWW,1.Grainger is slowly adapting green technologies for production processes. This should give contribute further to build a greater brand image,1.A weak and slowly recovering economy
GWW,2.There has been a growth in emerging markets for industrial supplies. Grainger should concentrate more on such markets,2.Excessive dependence on US markets and increase on competition in US markets
GWW,3.Have Education Assistance to full-time employees; the ones who are eligible to improve their greatest strength; People,3. Significant decrease in construction spending in some of Grainger’s overseas countries.
-,-,-
HAL,1.Increasing fuel/oil prices,1.Government regulations pressurizing operations
HAL,2.Increasing natural gas market globally,2.High Competition from existing oil services companies globally
HAL,3.More oil well discoveries,3.Environmental hazards cause a backlash
HAL,4. Infrastructure growth means more automobiles and construction equipment which require more fuel.,4.Economic instability and fluctuations worldwide
-,-,-
HAS,1.Increase presence in video game and applications market by leveraging on current licenses,1.Cheaper imitations by Chinese toymakers threaten its position
HAS,2. Become a one-stop merchandiser and content provider for companies like Marvel,2. Outsourced manufacturing means the company must rely heavily on the Chinese
HAS,3.Increase it’s presence in the distribution space by creating franchisees,3.Toys face continuous threat by the advent of electronic alternatives
-,-,-
-,-,-
HCA,1. Expand into other states of US,1. Change in government policies
HCA,2. Expand into other countries apart from UK,2. Rumour about operations of hospital leading to bad
HCA,3. Establish centres for treatment of acute diseases and ailments in specialized centres to attract medical tourism,3. Intense competition and strict govt restrictions can affect operations
-,-,-
HD,1. Diversifying product portfolio and catering to more customer needs,1. Competition within industry can affect Home Depot's business
HD,2. The Home Depot exclusively carries several major brands,2. Bargain power of buyer is higher and brand switching can cost loyal customers
HD,3. Global expansion to other countries can help boost business for the company,3. Government policies and taxation can affect business margins
HD,4. Acquisition of smaller companies can help Home Depot increase sales,-
-,-,-
-,-,-
-,-,-
HII,1. High potential in emerging markets,"1. Entry of several international brands along with the strong hold of long standing, well established Indian brands."
HII,2. Innovation in customer services,2. Competition on price point
HII,3. Digitalization and better use of technology,3. Stagnated growth
HII,4. Indian and as well as global hospitality sectors are looking at a boom,4. Economic and political turbulence in most countries
-,-,-
-,-,-
HON,1. Positive outlook for global aerospace and defense sector,1. Strict govt policies and environmental regulation affect operations
HON,"2. Growth through tie-ups and acquisitions, especially in the emerging economies like India, China, Brazil etc can boost international market share",2. Economic fluctuations and currency devaluations affect the financial performance as it is an international company
HON,3. Accelerating US turbocharged engine segment,3. Heavy dependence on few suppliers
-,-,-
HPE,1. With increase in IT awareness the scope for supply of desktops and laptops is increasing,1. People are becoming more cost conscious so the profit margins have become low so pricing is an issue
HPE,2. It has opportunity for growth in service industry because it has bought “EDS” which is world’s No. 2 service provider,2. With increase in number of local players there is threat of component pricing
-,-,"3. Due to economic downturn, increase competition and saturated market there is slow revenue growth"
-,-,-
HRL,1. Building business through internal expansion and/or strategic acquisitions,1.Nutrition & health related concerns
HRL,2.Obtaining improved profits through international joint ventures,2. Food contamination caused by disease producing organism or pathogens
HRL,3. Overseas markets,3.Increase in the cost of animal feed
-,-,"4. Federal, state, and local food processing controls"
-,-,-
HSIC,1. Acquisitions likely to strengthen Henry Schein’s dental and physician services business,1. Health Care Reform Law in the US may have a negative impact on the company’s operating margin
HSIC,2. Enhanced animal health business could drive the company’s top-line growth,2. Intense competition likely to put pressure on the company’s profit growth
HSIC,3. several acquisitions in the US and other countries in the recent past,3. significant competition from many domestic and international manufacturers and distributors of healthcare supplies and equipment
-,-,-
HST,"1. Its properties are managed by third parties, opportunities in same field by owing these properties as self management.","1. As the market tends to recover at a slow place, many people cannot travel as much as they use to. This hurts the traveling industry which poses a threat to the company."
HST,"2. More opportunity for Wedding, Entertainment event, Theme parks, Cooperates meeting center & Conference.",2. Terrorist attacks pose a major threat to companies.
HST,3. Acquisition and merger for its growth.,3. Natural earthquake and disaster
HST,4. Partnership with travel agencies for increasing its Business.,4.Economic slowdown
-,-,"5. As real estate prices fall, this lowers the value of the company."
-,-,-
HSY,1. Newer innovations and products in the chocolate as well as dessert segment can help the brand,1. Intense competition in this category means limited margins for the company
HSY,2. International expansion can increase business sales for the Hershey company,"2. Increasing concerns of health, increasing occurrences of obesity and diabetes can lead to reduction in consumption"
HSY,3. Improvements in distribution channels and tapping online ecommerce channels can boost business further,3. Change in consumer tastes can affect business sales
-,-,4. Increasing prices of milk and sugar as raw materials are indirect ways which can affect business for Hershey's
-,-,-
HUM,1.Favourable demographics in future,1.Rising cost of healthcare
HUM,2.Use of technology in R & D to create market specific products,2.Possibility of price wars
HUM,3.Expansion across different geographies,3.Rising unemployment and government interventions
-,-,-
-,-,-
IBM,1. IBM can look at emerging markets and can grow more there,1. Many technology companies coming up with internet boom have reduced the dominance of IBM
IBM,"2. The company can continue its growth in diverse opportunity areas like cloud, business consulting, sustainable business projects etc.",2. Concerns over confidential information of users being vulnerable to leaks
IBM,"3. Domestic projects in countries can be taken up by IBM using a local workforce, thereby strengthening its global footprint",3. Economic recession and changing government policies can impact business operations
-,-,-
INTC,1. Intel has a huge opportunity in the mobile segment-Hardware as well as Software,1. Intel is lagging in the mobile and portable segment and the whole world s moving towards portable devices.
INTC,2. Acquisition of smaller tech companies can boost its portfolio further,"2. Android, Apple and other devices are relying more on companies like Qualcomm than Intel"
-,-,-
INTU,1. Strategic Acquisitions,1. Intense competitions
INTU,2. New US tax credit policy as company makes tax related software,2. Dependence of very few manufacturing and distributing channel
INTU,3. Focus on SMEs,3. Economic slowdown
IP,1. The increase in e-commerce industry has resulted in high demand for packaging solutions,1. Focus on digitalizing all mass media content which will ultimately lead to decrease in consumption of paper and related items
IP,2. Consolidation and expansion of business in other geographies through acquisition route,2. Destruction of rain forests in Amazon basin which forms the main source of raw material for manufacturing
IP,"3. Due to scale of International Paper, it would have the backing of the government for expansion",3. Considerable resources in Russia which may be affected due to global crisis and US stance against Russia
-,-,4. Impact of environmental laws could be harmful to the company
-,-,-
IPG,1.Online advertising is a new source of revenue,1.Increasing lawsuits due to sheer negligence in preparation of ads
IPG,2.Adapting new strategies for market research brings in more revenues,2.Recession may hit the industry as cut is primarily on marketing budget of corporates
IPG,3.Decentralised decision making is helpful as local marketing needs vary from one region to another,3.Cut-throat competition offered by other players in the industry
-,-,-
IR,1. Entering to club car and utility vehicle business could boost its sales,1. Huge investments with higher payback periods made currently which could weaken its financial structure
IR,2. Growing residential sector in Asia,"2. Huge competition from other western firms like Caterpillar, JCB etc"
-,-,-
ISRG,1. Growth in gynecology in the United States and urology worldwide,1.Continous focus on technological advancements
ISRG,"2. Improving our reach internationally, particularly through our direct commercial teams in Europe and Asia",2.Threat of negative publicity due to one mishap/accident
ISRG,3. Delivering new products to surgeons,-
ISRG,4.Support innovative customers in new areas of surgery,-
-,-,-
J,1. The growth in the unconventional natural gas industry has potential to attract huge investments in the years to come,1. Intense competition may adversely affect market share - could have material adverse effect on the company’s business and financial condition
J,2. Widening geographic presence and enhancing capabilities through acquisitions and partnerships,"2. Government regulations - The company is affected by the federal, state, local and foreign laws and regulations relating to the formation, administration and performance of government contracts."
-,-,3. Fluctuating price of international currencies and economic disturbances can affect performance
-,-,-
JCI,1. Opportunities in emerging markets with high automotive growth.,"1. Declining automobile market at its home location, USA."
JCI,2. Global increase in usage of hybrid vehicles for which it makes batteries.,"2. Emergence of competitors in this segment, no longer the sole supplier."
JCI,3. Increasing propensity of customers to modify and upgrade their vehicle’s interiors.,3. Increased raw materials cost.
-,-,-
JNJ,1. Acquisitions of other smaller companies and increasing Johnson & Johnson's presence,1. Increasing competition can reduce market share of Johnson & Johnson
JNJ,2. Bringing out a range of more portable products for economy class and increasing rural penetration,2. Spurious brands with the name similar to existing brand name
JNJ,"3. Johnson & Johnson can tir-up with corporates, schools, colleges, hospitals etc for their business",3. Availability of cheap substitutes and low priced competitors
-,-,-
JNPR,1.Data Intensive applications,1.External factors like political instability and economic instability
JNPR,2. Growing demand for cloud computing,2. High volatility in markets
JNPR,3. It can strengthen its ties with domestic mainstream carriers,3. Highly competitive telecommunications market
JNPR,4. Increase in usage of 3G and high bandwidth infrastructure,4. ZTE might face problems because of the increase in the taxes
-,-,-
JPM,1.Expansion in other countries,1.Changing govt regulations and financial crisis like recessions
JPM,2.Diversifying portfolios for customers,2.Unstable mortgage market
JPM,3.Investments across the world,-
JPM,"4. Commercial banking, and JVs",-
-,-,-
K,1. Development of distribution channels in other countries with help of other companies can boost Kellogg's,1. Increasing competition in readymade breakfast segment can reduce business for Kellogg's
K,"2. Tie-up with restaurants, schools and hotels can boost business",2. Food regulations by government often restrict operations
K,3. Kellogg's can diversify into other health snacks which can be beneficial for the company,3. Fake imitations of food products or shop keepers keeping products beyond expiry can be a threat for Kellogg's
-,-,-
KHC,1.Acquisition of Cadbury gives an opportunity to increase reach in developing countries,1.Health consciousness amongst people possess a threat to the confectionery market
KHC,2.Acquisition of competition,2.Rise in cost of raw material
KHC,3.Product line extension with launch of pet food,3.Eurozone crisis and global economic slowdown
-,-,4.Stiff competition
-,-,-
KMB,1. Strong potential in online growth of its products,1. Continued recession condition in Europe will affect its business
KMB,2. Increasing customer preference for organic and natural care products,2. Intense competition among FMCG companies to gain market share in consolidated markets
KMB,"3. Growing importance of emerging markets, and strengthen presence in China and Russia",3. Threat from private labels which are cheaper as compared to Kimberly-Clark products
KMB,4. Acquisitions and alliances should help the company expand its global business portfolio,-
-,-,-
KMI,1. Shale fields developing in US,1.Government regulations pressurizing operations
KMI,2.Increasing natural gas market globally,2.High Competition from existing oil services companies globally
KMI,3.More oil well discoveries,3.Environmental hazards cause a backlash
KMI,4. Infrastructure growth means more automobiles and construction equipment which require more fuel.,4.Economic instability and fluctuations worldwide
KMI,5. Increase in demand from Asia,-
-,-,-
KMX,1. Ever increasing demand for second hand cars,1. Increase in crude oil prices may slowdown the growth of industry
KMX,2. Export opportunity to developing country,2. Online consultancy is available for purchase of cars
KMX,3. Participation in various auto expos and displaying auto design,3. Increasing raw material prices which increase the cost of car and in turn inventory holding
-,-,-
KO,1. Increase its reach in untapped countries and market can boost Coca Cola,1. Health consciousness amongst people avoiding aerated drinks can adversely affect Coca Cola
KO,2. Market and popularize the less known products,2. Difficulty in complying with different government regulations and norms in different countries
KO,3. Acquiring other companies can strengthen Coca Cola's place in the industry further,"3. Inflation, economic slowdown and instability"
KO,4. Diversify its product portfolio by entering into snacks industry to compete with PepsiCo,4. Strong competition can lead to reduced market share
KO,5. Launching a full fledged health drinks line of business,-
-,-,-
KR,1. Strategic expansion plans across different countries can boost business of Kroger,1. Rising labor costs in America can affect business of Kroger
KR,2. Increased emphasis on private label brands can help the company grow its business,2. Traditional and non-traditional competitors trending into the competition
KR,3. Centralize decision making and planning process in order to maintain operating efficiency,3. Inflation leading to lower profit margins can affect its business
-,-,-
LEN,1. Increase in income level of people in US,1. Financial capacity and stability of the company
LEN,2. Growing Economy,2. Economic downturn in US
LEN,3. New markets in other states of US,3. Fall in real estate prices
LEN,4. Tie-up with global players for international exposure,4. US government regulations may affect the business
-,-,-
LIN,1. Innovations such as alternatives to carcinogenic solvents attracting customers by offering environment friendly solutions,1. Increase inclination towards shale gas and by products
LIN,2. To thrive on cost efficient modular and hardware footprints,2. Threat of further decrease in production margin
LIN,3. Requirements to meet stringent energy targets by customers,"3. High levels of sovereign debt worldwide, currency fluctuations"
LIN,4. Owners of largest helium facility,-
-,-,-
LLY,1. Improvement global living standards,1. Over the years there is considerable increase in generic
LLY,2. Increasing awareness about healthcare needs,2. Economic slow down
LLY,3. Global societies growing older,3. Increased hurdles for drug discovery & development
LMT,1. Rising defence needs for countries from terrorists threats,1. Changes in global trade barriers
LMT,2. Modernisation of defence in all countries will continuously lead to increase in demand in future,2. Defence budget cuts will affect the company gravely 
-,-,3. Competition from other manufacturers 
-,-,4. Government regulating technology and security
-,-,-
-,-,-
LNC,1.Make it a one stop shop for all financial decisions,1.Business growth and performance are strongly linked to economic cycles
LNC,2.Geographical expansion,2.Have to be concerned about patent expiry and accompanying losses in revenue
LNC,3.Mergers and acquisitions to widen product portfolio,3.Insurance frauds and competitive environment
-,-,-
LOW,1. Global expansion to tap newer markets can boost Lowe's business,1. Cut throat competition with respect to margins
LOW,2. Increasing product and service offerings,2. Touch and feel of product is not available prior to purchase in case of shipment
LOW,3.Free parcel shipping to increase customer experience,3. People opting for ecommerce portals for home deliveries & services can degrow business
-,-,-
LRCX,1. New Product launces,1. Highly competitive market
LRCX,2.Robust R&D,2.Reliance on third party Outsourcer
LRCX,2. Acquisition of Novellus Systems,-
-,-,-
LUV,1. Expansion to other cities with the USA can help boost its business,1. Operating costs can increase and hence air fare will increase
LUV,2. International flights and global expansion can help increase the revenue for Southwest airlines,2. Increase in fuel prices can lead to loss of margins for Southwest
LUV,3. Tie-up with international airline companies to offer global air travel at affordable prices,"3. Changing economic policies, recessions & pandemics can affect the tourism sector, thereby impacting their revenue"
-,-,-
LYB,1. Increase in demand for ethylene and propylene,1. Stringent regulation increases future risk factor
LYB,2. Large number of joint ventures increase the capability to improve product portfolio,"2. Threatening calamities can de stabilize the company such as shut down of plants on the US Gulf Coast, temporary shutdown of the Houston Refinery"
LYB,3. Outsourcing opportunity available can be leveraged to increase profit margin,3. Threatened by lawsuits due to their past financial flaws
-,-,-
MA,1. Cashless economies,1. Stringent economic policies world over
MA,2. Digital currency increasing with technological advancements,2. Highly competitive environment
-,-,-
MCD,1. McDonald's can improve on the existing home delivery service,"1. Threat from other eating joints/restaurants, which can reduce McDonalds' market share"
MCD,2. Get more innovative products for the vegan customers,2. Health conscious people avoiding fast food
MCD,"3. With newer emerging markets, McDonald's can venture into these markets to grow the brand","3. Being a global brand, the operations of McDonald's can be affected by recession, fluctuating economies, pandemic etc."
MCD,4. Can introduce more menu items to support the existing items,4. Constant vigilance from food regulatory bodies can affect business operations
-,-,5. Food like burgers have become generic in nature and a lot of options are available in the market
-,-,-
MCHP,1. Growth of semiconductor industry,1. High competitive pressure
MCHP,2. Various product innovations,2. Rapid changes in technology and adoption to the change
MCHP,3. Strategic initiatives,-
-,-,-
MCK,1. Robust market for generic medicines,1. Changes in legal aspect of healthcare business
MCK,2. Expanded healthcare needs of ageing population,2. Other major software players entering healthcare sector
MCK,3. Public policy agenda supporting access to healthcare solutions,-
MCK,4. Higher margin business in fast growth sector such as oncology,-
-,-,-
MDT,1.New products and new markets,1.Mature markets – Need for geographical expansion
MDT,2.Mergers and acquisitions to gain strategic advantage,2.Political risk – government interventions
MDT,3.Focus on technology and improving research capabilties,3.Volatile costs and revenue due to fluctuating exchange rates
-,-,-
MET,1.Expansion in other countries,1.Changing govt regulations and financial crisis like recessions
MET,2.Diversifying portfolios for customers,2.Natural disasters
MET,3.Acquisitions and JVs,3.US financial service sector
MET,4.New Emerging markets,4.Other competitors in the industry
-,-,-
MKC,1. Geographic expansion in China and Southeast Asia,"1. Damage to reputation or brand name, loss of brand relevance, increase in private label use by customers or consumers, or product quality or safety concerns could negatively impact McCormick"
MKC,2. Extending success in one market to other parts of the world,"2. Raw materials are agricultural products, thus are subject to fluctuations in market price and availability caused by weather, growing and harvesting conditions"
MKC,3. Acquisitions to penetrate new markets and extend our portfolio in countries where we have a significant presence,3. Subject in varying degrees to certain risks typically
-,-,"associated with a global business, such as local economic and"
-,-,"market conditions, restrictions on investments, royalties,"
-,-,dividends and exchange rate fluctuations
-,-,-
MMM,1. Acquisitions to strengthen existing businesses,1. Unfriendly environmental regulations and strct govt policies can affect position
MMM,2. Automotive industry on road to recovery would mean more business,2. Intense competition can lead to loss of market share
MMM,3. More global presence through tie-ups and diversification in businesses can lead to more growth,3. Risks associated with conducting business outside the US
-,-,-
MNST,1. It may venture into carbonated drinks to expand its portfolio of products,1. The government is coming up with stringent regulations for control of quality and safety of the product
MNST,"2. It is already a leader in Energy drinks, it can try and capture Red Bulls market by being associated with various sporting events",2. Intense competition in the energy drinks market
MNST,3. Growing low calorie and diet conscious consumers whom they can target for the next wave of customer acquisition,3. Increasing labor costs in the US could affect its overall costs and decrease margins
-,-,4. Inability to come out of Red Bull’s shadows
-,-,-
MOS,"1. Strong potential for growth in the fertilizer market, as the Company can expand into production of fertilizers as well.","1. Increased competition, especially from PotashCorp, which has initiated an acquisition of Canpotex’s subsidiaries."
MOS,"2. The Company has engaged into several joint ventures to acquire phosphate mines outside North America, especially in the East African and Latin American belt.",2. There is also competition from state-owned producers in emerging markets of Asia and Africa.
MOS,3. There has been an increase in long-term contracts with Global purchasers and exporters to aid in international sales and growth.,3. Tightening of environmental regulatory policies have affected the production processes and resulted in great losses for the Company.
-,-,4. Unpredictable climatic conditions have created several facility losses and added to the increasing pressure on shifting plants outside of North America.
-,-,-
MRK,"1. Broad-based medical innovation, in technologies and businesses across the spectrum of health care",1. Increasing obsolesce of technology
MRK,2. Venture into health needs in under-developed and poor countries,2. Competition from peers
MRK,4. Leverage its core business expertise and resources to create sustainable solutions in countries around the world.,-
-,-,-
MRO,1.Scale up its service offerings and strengthen its operations by entering into a number of strategic agreements,1.Intense competition in all sectors of the oil and gas industry
MRO,2.Planned investments for future development,2.Fluctuation in liquid hydrocarbon or natural gas prices
MRO,3.Increase in the demand for natural gas in the US provides an opportunity for the company to increase its top.line growth,3.Increase of Middle east refinery capacity
MRO,4.Increased exploration prospects,4.Increasing crude oil prices
-,-,5.The exploration and production operations of the company are susceptible to disruptions
-,-,6.Risks associated with conducting operations outside the US
-,-,-
MS,1.Expansion in other countries,"
1.Changing govt regulations and financial crisis like recessions
"
MS,2.Diversifying portfolios for customers,2.Stiff competition
MS,3.Mergers and acquisition and JVs,-
-,-,-
Microsoft,1. Microsoft can continue to be a market leader in innovation in technology as its has the resources & funds,1. Many technology companies coming up with internet boom have reduced the dominance of Microsoft
Microsoft,"2. With increasing data penetration, the brand can tap a wider audience worldwide",2. Concerns over confidential information of users being vulnerable to leaks
Microsoft,"3. The company can provide more solutions to enterprises especially in online security, smartphone solutions etc.",-
-,-,-
MSI,1. Growing RFID market and wireless infrastrucutre,1. Risk from the US government contracts and grants
